"STOCK","DOJI_DATE","HINT"
"Danone","2020-07-24","-"
"Carrefour","2020-07-24","buy over 15.50"
"Michelin","2020-07-24","-"
"L'Oréal","2020-07-24","buy on bounce at 274.82"
"Pernod-Ricard","2020-07-24","-"
"Television Francaise 1","2020-07-24","sell on bounce at 5.21"
"Veolia Environnement","2020-07-31","sell on bounce at 20.61"
"Vivendi","2020-07-24","-"
"LAST UPDATE","2020-08-03","-"
