"STOCK","DOJI_DATE","HINT"
"Acerinox","2020-07-03","-"
"Acciona","2020-06-26","-"
"ENCE","2020-06-26","buy over 3.3"
"Viscofan","2020-07-03","buy over 60.5"
"LAST UPDATE","2020-07-05","-"
